d	fi	anom	count
0.015	1.16239	1000	1000	
0.02	0.188496	0	1000	
0	0.612611	501	1000	
0.005	0.0314159	0	1000	
0.03	1.46084	1000	1000	
0.045	0.628319	551	1000	
0.02	0.314159	0	1000	
0.005	0.141372	0	1000	
0.005	1.22522	1000	1000	
0.045	1.49226	1000	1000	
0	0.785398	952	1000	
0.03	1.16239	1000	1000	
0.015	1.05243	1000	1000	
0.02	1.24093	1000	1000	
0.005	0.989602	1000	1000	
0.01	1.31947	1000	1000	
0.02	1.25664	1000	1000	
0.025	0.518363	267	1000	
0.02	1.11527	1000	1000	
0.03	0.832522	991	1000	
0.025	0.251327	0	1000	
0.04	0.518363	271	1000	
0.005	1.53938	1000	1000	
0.005	0.722566	804	1000	
0.035	0.722566	833	1000	
0.01	0.973894	1000	1000	
0	0.267035	0	1000	
0.04	0.675442	711	1000	
0.005	0.125664	0	1000	
0.03	0.502655	219	1000	
0.02	0.973894	1000	1000	
0.03	1.1781	1000	1000	
0.045	1.11527	1000	1000	
0.03	1.35088	1000	1000	
0.01	0.141372	0	1000	
0.025	0.738274	869	1000	
0.015	0.549779	351	1000	
0.04	0.785398	955	1000	
0.035	0.92677	1000	1000	
0	0.753982	903	1000	
0.015	0.895354	998	1000	
0.03	0.518363	250	1000	
0.035	1.42942	1000	1000	
0.02	0.675442	706	1000	
0.02	1.47655	1000	1000	
0.035	0.125664	0	1000	
0.025	1.09956	1000	1000	
0.01	0.832522	988	1000	
0.015	0.0942478	0	1000	
0.03	1.20951	1000	1000	
0	1.09956	1000	1000	
0.03	1.42942	1000	1000	
0.045	0.659734	674	1000	
0.02	0.172788	0	1000	
0.04	1.35088	1000	1000	
0.02	1.00531	1000	1000	
0.04	1.52367	1000	1000	
0	0.879646	999	1000	
0.025	1.22522	1000	1000	
0.02	0.298451	0	1000	
0.015	1.36659	1000	1000	
0.03	0.628319	565	1000	
0.03	0.816814	981	1000	
0.03	0	0	1000	
0.025	1.08385	1000	1000	
0.03	0.0314159	0	1000	
0.01	0	0	1000	
0.04	0.549779	316	1000	
0.045	0.76969	942	1000	
0.025	1.24093	1000	1000	
0.025	1.25664	1000	1000	
0.025	1.20951	1000	1000	
0.035	1.39801	1000	1000	
0.005	1.52367	1000	1000	
0.04	1.05243	1000	1000	
0.02	1.13097	1000	1000	
0.04	1.3823	1000	1000	
0.025	1.35088	1000	1000	
0.045	1.47655	1000	1000	
0.01	0.942478	1000	1000	
0.035	1.28805	1000	1000	
0.025	0.235619	0	1000	
0.005	0.392699	29	1000	
0.025	1.55509	1000	1000	
0.01	0.486947	165	1000	
0.04	0.534071	258	1000	
0.04	0.172788	0	1000	
0.015	1.3823	1000	1000	
0	0.596903	451	1000	
0.01	1.28805	1000	1000	
0.005	0.706858	803	1000	
0.035	0.565487	369	1000	
0.005	0.832522	987	1000	
0.02	0.282743	0	1000	
0.02	1.46084	1000	1000	
0.04	0.219911	0	1000	
0.03	0.471239	146	1000	
0.035	0.581195	398	1000	
0.025	0.76969	941	1000	
0.045	0.801106	975	1000	
0.015	0.92677	1000	1000	
0.035	0.596903	487	1000	
0.015	0.879646	999	1000	
0	1.13097	1000	1000	
0.035	0.612611	502	1000	
0.035	0.958186	1000	1000	
0.045	0.879646	1000	1000	
0.005	0	0	1000	
0.035	0.706858	803	1000	
0.005	0.84823	997	1000	
0.035	0.455531	115	1000	
0.03	0.329867	0	1000	
0.035	1.30376	1000	1000	
0.02	1.02102	1000	1000	
0.025	0.424115	64	1000	
0.01	0.125664	0	1000	
0.01	0.455531	110	1000	
0.02	0.989602	1000	1000	
0.025	0.408407	39	1000	
0.03	0.376991	15	1000	
0	0.644026	582	1000	
0	0.76969	927	1000	
0.045	0.612611	499	1000	
0.015	0.235619	0	1000	
0.04	0.659734	646	1000	
0.035	1.27235	1000	1000	
0.01	0.958186	1000	1000	
0.01	0.439823	67	1000	
0.005	1.55509	1000	1000	
0.005	0.015708	0	1000	
0.015	0.911062	1000	1000	
0.04	1.53938	1000	1000	
0.035	0.439823	77	1000	
0.02	1.14668	1000	1000	
0.025	0.376991	17	1000	
0.035	0.424115	58	1000	
0.045	0.785398	958	1000	
0.015	1.03673	1000	1000	
0.035	1.25664	1000	1000	
0.005	1.49226	1000	1000	
0.015	0.204204	0	1000	
0.025	1.11527	1000	1000	
0.03	1.19381	1000	1000	
0.015	1.41372	1000	1000	
0.005	0.738274	858	1000	
0.03	1.33518	1000	1000	
0.025	0.267035	0	1000	
0	1.47655	1000	1000	
0.04	1.36659	1000	1000	
0.02	0.141372	0	1000	
0.005	0.345575	2	1000	
0.04	0.706858	803	1000	
0.03	0.361283	5	1000	
0.01	0.92677	999	1000	
0.015	0.0471239	0	1000	
0.005	0.863938	998	1000	
0.02	0.125664	0	1000	
0.005	0.879646	999	1000	
0.015	0.0628319	0	1000	
0.02	1.16239	1000	1000	
0.03	1.30376	1000	1000	
0.025	0.816814	991	1000	
0.04	1.39801	1000	1000	
0	0.738274	860	1000	
0.045	0.753982	915	1000	
0	0.345575	2	1000	
0	1.42942	1000	1000	
0.035	1.44513	1000	1000	
0.03	1.31947	1000	1000	
0.04	1.50796	1000	1000	
0.03	0.235619	0	1000	
0	0.628319	549	1000	
0.025	0.282743	0	1000	
0.015	0.785398	953	1000	
0.03	1.11527	1000	1000	
0.01	0.785398	944	1000	
0.015	1.06814	1000	1000	
0.025	1.05243	1000	1000	
0.03	0.486947	185	1000	
0.04	0.69115	762	1000	
0.015	0.219911	0	1000	
0.03	1.53938	1000	1000	
0	0.251327	0	1000	
0.045	0.644026	630	1000	
0.01	0.816814	985	1000	
0.005	0.219911	0	1000	
0.035	0.471239	143	1000	
0.025	1.42942	1000	1000	
0.025	1.06814	1000	1000	
0.045	1.46084	1000	1000	
0	1.19381	1000	1000	
0.015	1.42942	1000	1000	
0.03	0.424115	65	1000	
0.02	0.911062	999	1000	
0.045	0.596903	462	1000	
0.005	0.659734	654	1000	
0.045	1.1781	1000	1000	
0.035	0.188496	0	1000	
0.01	0.0942478	0	1000	
0.03	0.0628319	0	1000	
0.035	1.20951	1000	1000	
0.02	0.0942478	0	1000	
0	1.44513	1000	1000	
0.025	0.973894	1000	1000	
0.005	0.424115	67	1000	
0.015	0.973894	1000	1000	
0.035	0.141372	0	1000	
0.02	1.33518	1000	1000	
0.045	1.53938	1000	1000	
0.025	0.722566	810	1000	
0.035	0	0	1000	
0	1.16239	1000	1000	
0.035	0.0785398	0	1000	
0.005	0.628319	513	1000	
0.01	0.0471239	0	1000	
0.015	0.534071	290	1000	
0.035	0.534071	294	1000	
0.045	0.267035	0	1000	
0.04	0.502655	205	1000	
0.035	0.911062	1000	1000	
0.04	1.11527	999	1000	
