d	fi	anom	count
0.07	1.50796	1000	1000	
0.095	0.942478	999	1000	
0.075	0.0785398	0	1000	
0.09	0.361283	5	1000	
0.07	1.22522	1000	1000	
0.05	0.204204	0	1000	
0.085	1.49226	1000	1000	
0.095	0.471239	169	1000	
0.05	0.408407	57	1000	
0.065	1.52367	1000	1000	
0.075	0.879646	995	1000	
0.085	0.314159	1	1000	
0.055	0.329867	1	1000	
0.085	1.09956	1000	1000	
0.08	1.39801	1000	1000	
0.065	0.69115	771	1000	
0.09	0.753982	919	1000	
0.095	1.25664	1000	1000	
0.09	1.02102	999	1000	
0.095	0.282743	0	1000	
0.09	1.03673	1000	1000	
0.08	0.015708	0	1000	
0.095	1.13097	1000	1000	
0.09	0.188496	0	1000	
0.07	0.644026	643	1000	
0.085	0.942478	1000	1000	
0.065	0.565487	366	1000	
0.095	0.298451	0	1000	
0.07	0.659734	665	1000	
0.07	1.49226	1000	1000	
0.06	0.471239	157	1000	
0.075	0.753982	917	1000	
0.055	1.20951	1000	1000	
0.055	0.376991	11	1000	
0.085	0.109956	0	1000	
0.085	0.0942478	0	1000	
0.06	1.30376	1000	1000	
0.09	0.204204	0	1000	
0.11	1.44513	1000	1000	
0.125	0.15708	0	1000	
0.11	0.706858	830	1000	
0.125	0.989602	1000	1000	
0.05	1.11527	1000	1000	
0.11	0.172788	0	1000	
0.115	1.33518	1000	1000	
0.105	1.35088	1000	1000	
0.145	1.06814	1000	1000	
0.145	0.534071	311	1000	
0.12	0.895354	1000	1000	
0.125	1.52367	1000	1000	
0.13	1.08385	1000	1000	
0.105	0.314159	0	1000	
0.135	1.1781	1000	1000	
0.1	0.518363	274	1000	
0.14	0.345575	7	1000	
0.105	0.612611	526	1000	
0.065	1.39801	1000	1000	
0.12	0.0628319	0	1000	
0.08	0.84823	997	1000	
0.14	1.1781	1000	1000	
0.145	0.235619	0	1000	
0.13	0.785398	979	1000	
0.1	1.35088	1000	1000	
0.145	1.27235	1000	1000	
0.14	0.973894	1000	1000	
0.14	1.27235	1000	1000	
0.1	1.05243	1000	1000	
0.12	1.42942	1000	1000	
0.12	0.361283	6	1000	
0.12	0.596903	496	1000	
0.125	0.895354	997	1000	
0.135	0.251327	0	1000	
0.1	1.25664	1000	1000	
0.11	0.408407	54	1000	
0.135	1.08385	1000	1000	
0.13	0.251327	0	1000	
0.13	0.989602	1000	1000	
0.115	0.801106	967	1000	
0.11	0.612611	545	1000	
0.105	0.518363	277	1000	
0.115	1.53938	1000	1000	
0.105	1.14668	1000	1000	
0.145	0.439823	114	1000	
0.145	1.36659	1000	1000	
0.13	0.15708	0	1000	
0.11	1.53938	1000	1000	
0.135	0.345575	5	1000	
0.125	0.0628319	0	1000	
0.145	0	0	1000	
0.05	0.282743	0	1000	
0.14	0.439823	109	1000	
0.12	1.19381	1000	1000	
0.115	0.502655	238	1000	
0.125	0.455531	127	1000	
0.115	1.09956	1000	1000	
0.14	0.141372	0	1000	
0.1	0.424115	71	1000	
0.135	1.47655	1000	1000	
0.115	0.706858	849	1000	
0.1	0.816814	984	1000	
0.13	0.549779	393	1000	
0.105	1.44513	1000	1000	
0.105	0.911062	999	1000	
0.135	0.0471239	0	1000	
0.125	0.69115	786	1000	
0.11	1.24093	1000	1000	
0.11	1.00531	1000	1000	
0.125	1.28805	1000	1000	
0.105	0.0785398	0	1000	
0.12	0.801106	976	1000	
0.135	0.879646	997	1000	
0.14	0.738274	929	1000	
0.1	0.219911	0	1000	
0.145	0.832522	996	1000	
0.135	0.644026	672	1000	
0.115	0.267035	0	1000	
0.13	1.3823	1000	1000	
0.13	0.392699	31	1000	
0.135	1.31947	1000	1000	
0.1	1.49226	1000	1000	
0.115	0.109956	0	1000	
0.125	1.13097	1000	1000	
0.11	0.84823	995	1000	
0.125	0.298451	0	1000	
0.115	0.942478	1000	1000	
0.145	1.50796	1000	1000	
0.12	0.204204	0	1000	
0.13	1.22522	1000	1000	
0.105	0.753982	941	1000	
0.14	1.41372	1000	1000	
0.14	0.581195	478	1000	
0.11	0.015708	0	1000	
0.1	0.659734	694	1000	
0.12	1.03673	1000	1000	
0.145	0.675442	786	1000	
0.135	0.486947	205	1000	
0.125	1.33518	1000	1000	
0.11	0.219911	0	1000	
0.145	0.0471239	0	1000	
0.135	0.69115	812	1000	
0.135	1.33518	1000	1000	
0.125	1.14668	1000	1000	
0.12	1.05243	1000	1000	
0.115	0.125664	0	1000	
0.11	1.05243	1000	1000	
0.115	0.958186	999	1000	
0.1	1.50796	1000	1000	
0.125	0.314159	2	1000	
0.12	0.439823	86	1000	
0.1	0.675442	720	1000	
0.105	0.76969	942	1000	
0.115	0.314159	0	1000	
0.13	1.24093	1000	1000	
0.1	0.863938	996	1000	
0.135	0.502655	274	1000	
0.13	0.596903	508	1000	
0.13	0.408407	64	1000	
0.105	0.958186	999	1000	
0.14	1.49226	1000	1000	
0.11	0.0314159	0	1000	
0.1	0.895354	1000	1000	
0.1	0.0628319	0	1000	
0.12	0.219911	0	1000	
0.14	1.42942	1000	1000	
0.14	0.596903	520	1000	
0.145	0.69115	816	1000	
0.145	1.52367	1000	1000	
0.115	0.345575	7	1000	
0.13	1.44513	1000	1000	
0.125	0.534071	347	1000	
0.105	0.973894	1000	1000	
0.135	1.53938	1000	1000	
0.115	0.329867	4	1000	
0.11	0.863938	998	1000	
0.11	0.251327	0	1000	
0.11	1.08385	1000	1000	
0.125	1.36659	1000	1000	
0.135	1.55509	1000	1000	
0.125	1.25664	1000	1000	
0.145	0.785398	968	1000	
0.105	0.0471239	0	1000	
0.135	1.42942	1000	1000	
0.115	0.188496	0	1000	
0.1	1.36659	1000	1000	
0.12	1.11527	1000	1000	
0.115	1.02102	1000	1000	
0.14	0.675442	784	1000	
0.145	0.76969	953	1000	
0.13	1.33518	1000	1000	
0.135	0.581195	467	1000	
0.11	0.973894	1000	1000	
0.105	0.015708	0	1000	
0.1	0.785398	951	1000	
0.14	1.52367	1000	1000	
0.12	0.298451	0	1000	
0.145	0.0628319	0	1000	
0.125	1.20951	1000	1000	
0.1	0.753982	912	1000	
0.135	1.39801	1000	1000	
0.12	0.314159	0	1000	
0.105	0.0314159	0	1000	
0.115	0.235619	0	1000	
0.11	0.141372	0	1000	
0.13	0.471239	172	1000	
0.135	0.596903	530	1000	
0.145	0.895354	999	1000	
0.115	1.05243	1000	1000	
0.105	0	0	1000	
0.11	0.942478	1000	1000	
0.125	0.424115	92	1000	
0.13	0.518363	284	1000	
0.14	0.801106	977	1000	
0.135	1.44513	1000	1000	
0.125	1.22522	1000	1000	
0.11	0.92677	1000	1000	
0.13	0.502655	252	1000	
0.12	0.424115	71	1000	
0.125	0.376991	21	1000	
0.1	0.738274	900	1000	
0.14	1.53938	1000	1000	
0.14	1.50796	1000	1000	
0.12	0.282743	0	1000	
0.1	0.76969	950	1000	
0.14	0.659734	733	1000	
0.125	1.24093	1000	1000	
0.135	0.565487	393	1000	
0.145	0.801106	973	1000	
0.105	0.84823	991	1000	
0.145	0.753982	940	1000	
0.12	1.13097	1000	1000	
0.105	0.832522	990	1000	
0.11	0.125664	0	1000	
0.125	0.408407	58	1000	
0.12	0.329867	2	1000	
0.105	0.879646	1000	1000	
0.12	1.16239	1000	1000	
0.14	0.69115	819	1000	
0.13	1.35088	1000	1000	
0.135	0.612611	593	1000	
0.115	0.204204	0	1000	
0.115	1.03673	1000	1000	
0.115	1.06814	1000	1000	
0.11	0.958186	1000	1000	
0.14	0.706858	868	1000	
0.115	0.219911	0	1000	
0.12	1.14668	1000	1000	
0.105	0.863938	999	1000	
0.13	0.486947	217	1000	
0.13	1.31947	1000	1000	
0.13	1.30376	1000	1000	
0.11	0.0942478	0	1000	
0.11	0.109956	0	1000	
0.135	1.41372	1000	1000	
0.125	0.392699	24	1000	
0.105	1.46084	1000	1000	
0.125	1.08385	1000	1000	
0.105	0.69115	787	1000	
0.1	1.46084	1000	1000	
0.145	1.49226	1000	1000	
0.11	0.801106	982	1000	
0.115	0.0785398	0	1000	
0.13	0.345575	4	1000	
0.14	0.518363	293	1000	
0.1	0.612611	546	1000	
0.115	0.0471239	0	1000	
0.12	0.973894	1000	1000	
0.12	0.188496	0	1000	
0.145	1.44513	1000	1000	
0.145	0.659734	714	1000	
0.135	1.28805	1000	1000	
0.11	0	0	1000	
0.11	0.832522	993	1000	
0.115	0.92677	1000	1000	
0.125	1.09956	1000	1000	
0.125	0.251327	0	1000	
0.13	1.20951	1000	1000	
0.125	0.235619	0	1000	
0.125	0.267035	0	1000	
0.12	0.141372	0	1000	
0.135	0.455531	132	1000	
0.13	0.329867	3	1000	
0.14	0.549779	425	1000	
0.13	1.1781	1000	1000	
0.14	0.534071	363	1000	
0.105	1.52367	1000	1000	
0.135	0.439823	106	1000	
0.105	1.55509	1000	1000	
0.115	0.0628319	0	1000	
0.145	0.628319	633	1000	
0.14	1.3823	1000	1000	
0.13	0.376991	24	1000	
0.13	1.16239	1000	1000	
0.125	0.282743	0	1000	
0.12	0.989602	1000	1000	
0.14	1.35088	1000	1000	
0.145	1.47655	1000	1000	
0.12	0.15708	0	1000	
0.115	0.911062	1000	1000	
0.105	1.53938	1000	1000	
0.14	1.36659	1000	1000	
0.135	1.30376	1000	1000	
0.14	0.565487	434	1000	
0.1	0.596903	518	1000	
0.135	1.27235	1000	1000	
0.125	1.11527	1000	1000	
0.145	0.612611	574	1000	
0.1	0.628319	603	1000	
0.105	0.706858	848	1000	
0.115	0.0942478	0	1000	
0.14	1.39801	1000	1000	
0.105	0.722566	866	1000	
0.12	0.172788	0	1000	
0.105	0.738274	891	1000	
0.11	0.816814	981	1000	
0.12	1.02102	1000	1000	
0.145	1.46084	1000	1000	
0.12	1.00531	1000	1000	
0.115	0.895354	1000	1000	
0.115	0.879646	999	1000	
0.13	0.361283	14	1000	
0.1	0.644026	647	1000	
0.13	1.19381	1000	1000	
0.1	1.47655	1000	1000	
0.135	0.424115	84	1000	
0.1	1.42942	1000	1000	
0.135	1.25664	1000	1000	
0.11	0.785398	972	1000	
0.125	1.06814	1000	1000	
0.145	0.644026	683	1000	
0.1	1.44513	1000	1000	
0.135	0.471239	182	1000	
0.115	0.816814	986	1000	
0.105	0.628319	593	1000	
0.125	0.816814	986	1000	
0.145	1.1781	1000	1000	
0.105	0.424115	72	1000	
0.105	0.439823	97	1000	
0.13	0.0628319	0	1000	
0.1	0.345575	2	1000	
0.14	1.11527	1000	1000	
0.135	0.361283	11	1000	
0.135	0.188496	0	1000	
0.135	0.172788	0	1000	
0.135	0.15708	0	1000	
0.105	0.455531	128	1000	
0.13	0.0942478	0	1000	
0.145	1.19381	1000	1000	
0.13	0.92677	1000	1000	
0.145	1.3823	1000	1000	
0.14	1.09956	1000	1000	
0.1	0.361283	13	1000	
0.11	1.55509	1000	1000	
0.14	0.455531	150	1000	
0.14	1.08385	1000	1000	
0.1	1.19381	1000	1000	
0.1	1.16239	1000	1000	
0.11	0.549779	363	1000	
0.145	1.20951	1000	1000	
0.115	1.44513	1000	1000	
0.145	0.361283	8	1000	
0.11	1.35088	1000	1000	
0.12	0.722566	878	1000	
0.135	1.00531	1000	1000	
0.125	0	0	1000	
0.135	0.989602	1000	1000	
0.12	0.706858	825	1000	
0.11	1.36659	1000	1000	
0.115	0.644026	652	1000	
0.125	0.832522	990	1000	
0.14	0.282743	0	1000	
0.12	0.738274	907	1000	
0.115	1.46084	1000	1000	
0.1	0.329867	2	1000	
0.145	0.549779	371	1000	
0.115	1.47655	1000	1000	
0.14	1.28805	1000	1000	
0.115	0.612611	540	1000	
0.145	0.345575	6	1000	
0.105	1.25664	1000	1000	
0.11	0.518363	276	1000	
0.11	0.534071	316	1000	
0.13	0.267035	0	1000	
0.1	1.1781	1000	1000	
0.135	0.141372	0	1000	
0.13	0.911062	999	1000	
0.13	0.895354	1000	1000	
0.14	0.267035	0	1000	
0.125	0.801106	981	1000	
0.12	1.53938	1000	1000	
0.115	1.42942	1000	1000	
0.105	1.27235	1000	1000	
0.13	0.0785398	0	1000	
0.12	0.0785398	0	1000	
0.12	1.55509	1000	1000	
0.12	0.69115	789	1000	
0.13	1.09956	1000	1000	
0.12	1.52367	1000	1000	
0.145	1.16239	1000	1000	
0.105	1.24093	1000	1000	
0.14	0.251327	0	1000	
0.11	1.3823	1000	1000	
0.105	0.408407	41	1000	
0.105	1.28805	1000	1000	
0.12	0.911062	1000	1000	
0.14	1.06814	1000	1000	
0.11	0.502655	241	1000	
0.1	0.314159	0	1000	
0.125	1.00531	1000	1000	
0.13	1.11527	1000	1000	
0.115	0.628319	589	1000	
0.115	0.596903	517	1000	
0.12	0.0942478	0	1000	
0.11	0.722566	882	1000	
0.135	1.02102	1000	1000	
0.11	1.33518	1000	1000	
0.135	0.973894	999	1000	
0.135	1.20951	1000	1000	
0.125	0.172788	0	1000	
0.105	0.644026	655	1000	
0.13	0.879646	999	1000	
0.1	1.14668	1000	1000	
0.1	0.549779	356	1000	
0.125	0.188496	0	1000	
0.145	0.376991	30	1000	
0.135	1.19381	1000	1000	
0.14	0.235619	0	1000	
0.145	1.39801	1000	1000	
0.115	0.832522	988	1000	
0.125	1.02102	1000	1000	
0.145	0.329867	6	1000	
0.135	0.376991	25	1000	
0.125	0.785398	961	1000	
0.13	0.0471239	0	1000	
0.1	0.534071	280	1000	
0.115	0	0	1000	
0.11	0.738274	907	1000	
0.105	1.47655	1000	1000	
0.145	0.565487	401	1000	
0.1	0.0314159	0	1000	
0.135	1.52367	1000	1000	
0.115	1.14668	1000	1000	
0.145	0.879646	998	1000	
0.155	0.816814	985	1000	
0.125	0.502655	257	1000	
0.195	0.738274	945	1000	
0.155	0.895354	1000	1000	
0.105	0.15708	0	1000	
0.165	1.00531	1000	1000	
0.165	1.08385	1000	1000	
0.185	1.3823	1000	1000	
0.16	0.15708	0	1000	
0.19	0.722566	917	1000	
0.19	1.47655	1000	1000	
0.185	0.628319	678	1000	
0.13	0.612611	551	1000	
0.14	0.816814	982	1000	
0.15	0.722566	907	1000	
0.1	0.0471239	0	1000	
0.175	1.27235	1000	1000	
0.16	0.911062	1000	1000	
0.12	0.408407	47	1000	
0.185	1.46084	1000	1000	
0.115	1.16239	1000	1000	
0.11	1.06814	1000	1000	
0.19	1.55509	1000	1000	
0.11	0.235619	0	1000	
0.17	0.345575	19	1000	
0.145	0.911062	1000	1000	
0.12	1.24093	1000	1000	
0.175	0.361283	16	1000	
0.1	0.879646	998	1000	
0.115	1.1781	1000	1000	
0.145	0.0785398	0	1000	
0.12	1.27235	1000	1000	
0.12	1.25664	1000	1000	
0.11	1.31947	1000	1000	
0.105	0.361283	2	1000	
0.105	0.125664	0	1000	
0.105	0.141372	0	1000	
0.17	1.1781	1000	1000	
0.195	0.816814	990	1000	
0.145	1.11527	1000	1000	
0.125	1.35088	1000	1000	
0.105	0.989602	1000	1000	
0.13	0.832522	996	1000	
0.105	1.19381	1000	1000	
0.17	0.267035	0	1000	
0.135	0.722566	852	1000	
0.13	1.46084	1000	1000	
0.175	1.19381	1000	1000	
0.155	0.0628319	0	1000	
0.14	0.785398	969	1000	
0.13	0.628319	619	1000	
0.115	0.549779	371	1000	
0.13	1.42942	1000	1000	
0.1	0.267035	0	1000	
0.12	0.675442	752	1000	
0.135	0.92677	1000	1000	
0.16	0.0785398	0	1000	
0.125	0.518363	270	1000	
0.135	0.125664	0	1000	
0.125	0.738274	922	1000	
0.13	0	0	1000	
0.15	1.55509	1000	1000	
0.12	1.47655	1000	1000	
0.17	1.09956	1000	1000	
0.185	0.549779	428	1000	
0.175	0.439823	127	1000	
0.115	1.36659	1000	1000	
0.1	1.09956	1000	1000	
0.125	1.55509	1000	1000	
0.14	1.05243	1000	1000	
0.105	0.392699	36	1000	
0.13	0.816814	984	1000	
0.11	1.28805	1000	1000	
0.11	0.486947	192	1000	
0.11	0.455531	127	1000	
0.14	0.172788	0	1000	
0.12	1.46084	1000	1000	
0.115	1.3823	1000	1000	
0.18	0.534071	364	1000	
0.165	0.251327	0	1000	
0.15	0.801106	981	1000	
0.11	0.439823	95	1000	
0.165	0.172788	0	1000	
0.16	0.989602	999	1000	
0.1	1.13097	1000	1000	
0.135	0.958186	1000	1000	
0.18	0.455531	160	1000	
0.18	1.36659	1000	1000	
0.105	0.345575	8	1000	
0.19	0.644026	755	1000	
0.135	0.706858	856	1000	
0.18	1.28805	1000	1000	
0.14	1.30376	1000	1000	
0.12	0.502655	254	1000	
0.115	0.785398	963	1000	
0.105	1.49226	1000	1000	
0.13	0.424115	84	1000	
0.125	0.973894	1000	1000	
0.135	1.35088	1000	1000	
0.13	0.282743	0	1000	
0.105	0.659734	689	1000	
0.12	0.125664	0	1000	
0.11	0.753982	910	1000	
0.13	0.314159	0	1000	
0.135	0	0	1000	
0.12	1.06814	1000	1000	
0.105	0.251327	0	1000	
0.14	1.44513	1000	1000	
0.115	0.0314159	0	1000	
0.11	0.76969	954	1000	
0.105	1.50796	1000	1000	
0.11	0.879646	999	1000	
0.13	1.25664	1000	1000	
0.125	0.628319	634	1000	
0.135	0.785398	961	1000	
0.1	0.141372	0	1000	
0.13	0.235619	0	1000	
0.11	0.0471239	0	1000	
0.14	0.502655	232	1000	
0.115	0.141372	0	1000	
0.135	0.534071	338	1000	
0.125	1.42942	1000	1000	
0.13	1.27235	1000	1000	
0.135	0.801106	976	1000	
0.13	0.298451	0	1000	
0.115	0.863938	998	1000	
0.12	0.958186	1000	1000	
0.125	1.05243	1000	1000	
0.11	1.19381	1000	1000	
0.145	0.596903	546	1000	
0.135	0.408407	51	1000	
0.13	1.13097	1000	1000	
0.12	0.235619	0	1000	
0.13	1.14668	1000	1000	
0.1	0.172788	0	1000	
0.105	0.675442	728	1000	
0.135	0.832522	983	1000	
0.11	0.345575	2	1000	
0.145	0.973894	1000	1000	
0.145	0.706858	865	1000	
0.105	1.42942	1000	1000	
0.115	0.84823	993	1000	
0.14	0.486947	220	1000	
0.14	0.0785398	0	1000	
0.14	0.911062	1000	1000	
0.14	1.31947	1000	1000	
0.1	0.565487	409	1000	
0.12	1.3823	1000	1000	
0.1	0.69115	760	1000	
0.14	0.612611	585	1000	
0.12	0.879646	1000	1000	
0.1	0.15708	0	1000	
0.14	0.895354	999	1000	
0.12	0.534071	318	1000	
0.105	0.235619	0	1000	
0.14	0.0471239	0	1000	
0.115	1.27235	1000	1000	
0.135	1.36659	1000	1000	
0.13	1.53938	1000	1000	
0.13	1.55509	1000	1000	
0.125	0.345575	6	1000	
0.135	1.24093	1000	1000	
0.12	0.109956	0	1000	
0.125	0.596903	551	1000	
0.145	1.53938	1000	1000	
0.115	0.15708	0	1000	
0.14	0.0942478	0	1000	
0.145	0.15708	0	1000	
0.105	1.1781	1000	1000	
0.145	0.188496	0	1000	
0.1	0.973894	999	1000	
0.115	1.24093	1000	1000	
0.1	1.3823	1000	1000	
0.14	1.33518	1000	1000	
0.105	1.06814	1000	1000	
0.11	0.895354	999	1000	
0.13	0.706858	843	1000	
0.1	1.00531	1000	1000	
0.125	1.03673	1000	1000	
0.135	0.329867	3	1000	
0.145	0.581195	448	1000	
0.13	0.738274	909	1000	
0.14	1.25664	1000	1000	
0.125	1.16239	1000	1000	
0.105	1.09956	1000	1000	
0.125	1.1781	1000	1000	
0.12	0.251327	0	1000	
0.135	1.22522	1000	1000	
0.145	1.42942	1000	1000	
0.11	0.0628319	0	1000	
0.145	0.722566	886	1000	
0.145	0.172788	0	1000	
0.125	0.204204	0	1000	
0.115	0.973894	1000	1000	
0.1	1.53938	1000	1000	
0.135	0.518363	302	1000	
0.105	0.267035	0	1000	
0.12	1.33518	1000	1000	
0.105	0.785398	965	1000	
0.12	1.35088	1000	1000	
0.11	0.69115	773	1000	
0.13	0.439823	124	1000	
0.115	0.424115	73	1000	
0.1	0.706858	802	1000	
0.14	0.424115	87	1000	
0.14	0.0628319	0	1000	
0.115	0.439823	92	1000	
0.13	1.52367	1000	1000	
0.105	0.219911	0	1000	
0.145	1.55509	1000	1000	
0.145	0.518363	313	1000	
0.11	1.16239	1000	1000	
0.1	0.125664	0	1000	
0.125	1.44513	1000	1000	
0.14	0.628319	644	1000	
0.12	0.942478	1000	1000	
0.125	0.141372	0	1000	
0.115	0.015708	0	1000	
0.13	0.69115	807	1000	
0.115	0.989602	1000	1000	
0.125	0.219911	0	1000	
0.115	1.25664	1000	1000	
0.12	1.36659	1000	1000	
0.125	1.46084	1000	1000	
0.12	0.549779	371	1000	
0.11	0.314159	0	1000	
0.145	1.41372	1000	1000	
0.105	0.596903	498	1000	
0.105	1.05243	1000	1000	
0.11	1.14668	1000	1000	
0.135	0.392699	50	1000	
0.1	1.39801	1000	1000	
0.1	1.41372	1000	1000	
0.14	1.46084	1000	1000	
0.13	1.06814	1000	1000	
0.125	0.329867	1	1000	
0.145	1.00531	1000	1000	
0.125	0.644026	690	1000	
0.145	0.989602	1000	1000	
0.14	0.92677	1000	1000	
0.1	1.52367	1000	1000	
0.1	0.989602	1000	1000	
0.12	0.518363	276	1000	
0.145	0.141372	0	1000	
0.145	1.35088	1000	1000	
0.14	0.879646	998	1000	
0.115	0.455531	138	1000	
0.135	0.816814	986	1000	
0.125	1.47655	1000	1000	
0.11	0.329867	4	1000	
0.1	0.502655	226	1000	
0.145	1.02102	999	1000	
0.12	1.08385	1000	1000	
0.105	1.08385	1000	1000	
0.115	0.408407	63	1000	
0.13	0.722566	865	1000	
0.105	0.801106	982	1000	
0.175	0.15708	0	1000	
0.16	0.706858	876	1000	
0.1	1.33518	1000	1000	
0.175	0.989602	1000	1000	
0.16	1.44513	1000	1000	
0.175	1.52367	1000	1000	
0.1	0.581195	448	1000	
0.195	0.534071	365	1000	
0.195	0.235619	0	1000	
0.18	1.08385	1000	1000	
0.195	1.06814	1000	1000	
0.165	1.33518	1000	1000	
0.11	1.52367	1000	1000	
0.19	0.973894	1000	1000	
0.155	0.612611	585	1000	
0.16	0.172788	0	1000	
0.15	1.25664	1000	1000	
0.155	1.35088	1000	1000	
0.185	1.1781	1000	1000	
0.17	0.895354	1000	1000	
0.19	1.1781	1000	1000	
0.115	1.28805	1000	1000	
0.155	0.314159	2	1000	
0.18	0.251327	0	1000	
0.17	0.0628319	0	1000	
0.195	1.36659	1000	1000	
0.195	1.27235	1000	1000	
0.185	0.345575	19	1000	
0.15	0.518363	296	1000	
0.175	0.895354	999	1000	
0.16	0.612611	616	1000	
0.19	1.27235	1000	1000	
0.16	1.53938	1000	1000	
0.15	1.05243	1000	1000	
0.17	0.361283	21	1000	
0.16	0.408407	68	1000	
0.17	0.596903	534	1000	
0.185	1.08385	1000	1000	
0.185	0.251327	0	1000	
0.155	0.518363	313	1000	
0.19	0.345575	21	1000	
0.17	1.42942	1000	1000	
0.1	0.958186	1000	1000	
0.18	0.989602	1000	1000	
0.15	1.35088	1000	1000	
0.195	0.439823	149	1000	
0.175	0.0628319	0	1000	
0.165	1.53938	1000	1000	
0.165	0.801106	979	1000	
0.18	0.785398	972	1000	
0.18	0.15708	0	1000	
0.185	0.0471239	0	1000	
0.19	0.439823	159	1000	
0.155	1.14668	1000	1000	
0.165	0.502655	293	1000	
0.17	1.19381	1000	1000	
0.165	0.706858	891	1000	
0.11	0.361283	8	1000	
0.175	0.69115	829	1000	
0.19	0.141372	0	1000	
0.195	0	0	1000	
0.15	0.816814	979	1000	
0.175	0.455531	156	1000	
0.15	0.424115	106	1000	
0.185	1.47655	1000	1000	
0.185	0.644026	731	1000	
0.17	0.801106	980	1000	
0.18	0.549779	412	1000	
0.155	1.44513	1000	1000	
0.155	0.0785398	0	1000	
0.185	0.879646	998	1000	
0.16	1.24093	1000	1000	
0.175	1.28805	1000	1000	
0.12	0.92677	1000	1000	
0.165	1.09956	1000	1000	
0.16	1.00531	1000	1000	
0.1	1.08385	1000	1000	
0.165	0.267035	0	1000	
0.155	0.911062	999	1000	
0.15	0.219911	0	1000	
0.18	1.3823	1000	1000	
0.19	0.738274	932	1000	
0.195	0.832522	988	1000	
0.14	0.471239	168	1000	
0.125	0.612611	586	1000	
0.1	0.251327	0	1000	
0.12	0.0471239	0	1000	
0.105	1.22522	1000	1000	
0.135	0.911062	998	1000	
0.145	0.267035	0	1000	
0.13	0.0314159	0	1000	
0.14	0.219911	0	1000	
0.135	1.16239	1000	1000	
0.125	0.76969	940	1000	
0.115	0.534071	322	1000	
0.11	1.1781	1000	1000	
0.115	1.41372	1000	1000	
0.125	0.722566	869	1000	
0.145	1.14668	1000	1000	
0.1	0.298451	0	1000	
0.15	1.36659	1000	1000	
0.145	1.09956	1000	1000	
0.13	0.863938	996	1000	
0.11	1.27235	1000	1000	
0.12	0.628319	611	1000	
0.14	1.00531	1000	1000	
0.18	0.392699	55	1000	
0.185	1.31947	1000	1000	
0.115	0.581195	447	1000	
0.145	0.314159	0	1000	
0.16	0.84823	995	1000	
0.195	1.50796	1000	1000	
0.12	1.50796	1000	1000	
0.175	1.13097	1000	1000	
0.175	0.298451	2	1000	
0.15	1.49226	1000	1000	
0.18	1.22522	1000	1000	
0.165	0.109956	0	1000	
0.165	0.942478	1000	1000	
0.155	0.753982	942	1000	
0.17	1.03673	1000	1000	
0.19	0.581195	557	1000	
0.185	0.486947	263	1000	
0.14	0.863938	1000	1000	
0.17	0.204204	0	1000	
0.15	0.659734	749	1000	
0.19	1.41372	1000	1000	
0.105	1.36659	1000	1000	
0.195	0.675442	845	1000	
0.16	0.015708	0	1000	
0.11	0.628319	598	1000	
0.185	1.33518	1000	1000	
0.125	0.911062	1000	1000	
0.135	0.204204	0	1000	
0.165	0.125664	0	1000	
0.17	1.05243	1000	1000	
0.175	0.314159	1	1000	
0.175	1.14668	1000	1000	
0.16	1.05243	1000	1000	
0.125	1.50796	1000	1000	
0.165	0.958186	1000	1000	
0.17	0.439823	135	1000	
0.15	0.675442	779	1000	
0.15	1.50796	1000	1000	
0.185	0.502655	295	1000	
0.15	0.863938	999	1000	
0.155	0.76969	960	1000	
0.165	0.314159	5	1000	
0.18	1.24093	1000	1000	
0.155	0.958186	1000	1000	
0.18	0.408407	85	1000	
0.16	0.0314159	0	1000	
0.18	0.596903	552	1000	
0.155	1.46084	1000	1000	
0.19	1.42942	1000	1000	
0.19	0.596903	635	1000	
0.17	0.219911	0	1000	
0.15	0.895354	999	1000	
0.145	0.125664	0	1000	
0.195	0.69115	880	1000	
0.15	0.0628319	0	1000	
0.12	0.455531	132	1000	
0.13	0.942478	1000	1000	
0.145	1.33518	1000	1000	
0.1	0	0	1000	
0.11	0.188496	0	1000	
0.12	0.785398	971	1000	
0.145	0.455531	155	1000	
0.13	1.05243	1000	1000	
0.195	1.52367	1000	1000	
0.135	0.895354	997	1000	
0.175	0.534071	368	1000	
0.105	0.298451	0	1000	
0.125	1.49226	1000	1000	
0.115	0.298451	0	1000	
0.11	0.675442	730	1000	
0.11	0.267035	0	1000	
0.125	0.0314159	0	1000	
0.1	1.24093	1000	1000	
0.125	1.53938	1000	1000	
0.13	0.188496	0	1000	
0.115	1.55509	1000	1000	
0.14	0.15708	0	1000	
0.125	1.3823	1000	1000	
0.16	0.863938	993	1000	
0.135	0.0785398	0	1000	
0.135	1.03673	1000	1000	
0.16	1.08385	1000	1000	
0.155	0.973894	999	1000	
0.165	0.345575	16	1000	
0.11	0.581195	445	1000	
0.1	1.22522	1000	1000	
0.105	1.33518	1000	1000	
0.18	1.44513	1000	1000	
0.115	0.376991	19	1000	
0.135	0.298451	0	1000	
0.185	1.53938	1000	1000	
0.105	0.502655	224	1000	
0.14	0.329867	3	1000	
0.165	0.329867	5	1000	
0.12	1.31947	1000	1000	
0.135	0.219911	0	1000	
0.1	1.27235	1000	1000	
0.105	1.00531	1000	1000	
0.125	0.942478	999	1000	
0.12	1.30376	1000	1000	
0.14	1.24093	1000	1000	
